"TYPE_NAME","MIX_TYPE","INGR_CODE","INGR_ENG_NAME","INGR_NAME","MIX_INGR","FORM_NAME","ITEM_SEQ","ITEM_NAME","ITEM_PERMIT_DATE","ENTP_NAME","CHART","CLASS_CODE","CLASS_NAME","ETC_OTC_NAME","MAIN_INGR","NOTIFICATION_DATE","PROHBT_CONTENT","REMARK","INGR_ENG_NAME_FULL","STD_CD"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201501508","쎌레브캡슐200밀리그램(세레콕시브)","20150324","대우제약(주)","흰색 내지 연노란색의 분말이 충진된 상하 흰색의 경질캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806496044403,8806496044410,8806496044427"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201501549","삼성세레콕시브캡슐200밀리그램","20150324","삼성제약(주)","흰색 내지 미황색의 분말이 충전된 상하 노란색 줄이 있는 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806423066003,8806423066010,8806423066027"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201501572","쎌브릭캡슐(세레콕시브)","20150325","고려제약(주)","흰색 내지 미황색의 분말이 충전된 상하 흰색의 경질캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806428027306,8806428027313,8806428027320"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201501582","쎄레티스캡슐200밀리그램(세레콕시브)","20150325","(주)비씨월드제약","흰색 내지 연한 노란색의 가루가 충진된 상,하 노란색 줄이 있는 흰색의 경질캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806531029402,8806531029419,8806531029426"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","필름코팅정","201501603","쎄레브이정200밀리그램(세레콕시브)","20150326","한림제약(주)","흰색의 장방형 필름코팅정","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806453051604,8806453051611,8806453051628,8806453051635"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201501648","세리브콕스캡슐200mg(세레콕시브)","20150330","미래바이오제약(주)","흰색 내지 연노랑색의 가루가 충전된 상하 흰색의 경질캡슐","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806575029109,8806575029116,8806575029123"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201501655","파마세레콕시브캡슐200mg","20150330","(주)한국파마","흰색 내지 미황색의 가루가 든 흰색의 불투명한 경질캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806530056003,8806530056010,8806530056027"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201501680","위더콕스캡슐200밀리그램(세레콕시브)","20150330","위더스제약(주)","흰색 내지 미황색의 분말이 충진된 상하 황색줄이 있는 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806607028001,8806607028018,8806607028025"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201501733","넬슨세레콕시브캡슐200밀리그램(세레콕시브)","20150331","한국넬슨제약(주)","흰색 내지 미황색의 분말이든 흰색의 불투명한 경질캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806567019507,8806567019514,8806567019521"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201502257","세레비스캡슐(세레콕시브)","20150415","(주)한국파비스제약","흰색 내지 미황색의 가루가 든 횐색의 불투명한 경질캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806218026106,8806218026113,8806218026120"
